,english,german,arabic,french,spanish,chinese,russian,hindi,indonesian,japanese,swahili,polish,hungarian,turkish,greek,korean,tamil,finnish,basque,bosnian,swedish,lithuanian,icelandic,filipino,yoruba,amharic,georgian,italian,uzbek,irish,hausa,maori,thai,mongolian,romanian,punjabi,somali,dutch,portuguese,danish,slovenian,maltese,malagasy,javanese,albanian,armenian,khmer,kurdish,haitian creole
english,0.0,1458.7136221017245,2293.732119680744,1037.8154263471552,1222.1747754615767,2307.0089345163647,1935.5169659336523,2103.287568478339,1898.395436064243,2018.8607661187468,2091.2048219423,1889.8716476043182,2071.2051524451067,2087.037561704312,1952.675916932933,2192.3372602621457,1982.7132296918498,2006.5717067731975,1749.8727930670657,1648.1947183007765,1491.1169329209738,1859.2247757172115,1808.6377658114409,1768.2391352538825,1969.439614113994,2037.150221405292,1934.4769310711192,1165.1624756725275,2070.549746971645,1274.4008617853715,2182.7343827699865,2155.075667266793,2331.074272861244,2237.5185576166864,1272.4779988509108,1933.3530087722795,2191.2467504770357,1409.3354199843834,1228.6143011547547,1417.5042148701111,1847.243682201181,1333.6112196465847,1564.6700942423918,1795.2926679035304,1793.381618967299,2199.0448940567853,1909.8886643355088,1763.9165974988366,1317.2139061366902
german,1458.7136221017245,0.0,2374.333731536406,1647.5714057539026,1769.303395222739,2286.089930411939,2011.1050032990358,2190.4840739108313,1975.8589523171022,2211.545593997366,2311.9904487291365,1986.4110927139043,2079.8239854833696,2134.5775107284553,2072.7022924043754,2232.589057924108,2231.9805888321275,2079.5367970057155,1903.2807928485977,1865.124299055963,1435.7654020291416,1949.061662676379,1893.0069183316264,2083.41243863954,2241.2639550313816,2072.224675706512,2004.0712348354941,1706.3582853693715,2153.2188691916913,1796.0966444343906,2323.8026936914766,2262.0857851404517,2292.3141498938876,2181.422444760938,1717.6613481810205,2201.74161364455,2398.6434577102127,1118.6186227240503,1803.671372661146,1295.6398326210813,1925.9619619092505,1869.704189543353,2012.876583222525,1992.1549605382243,1867.9815196159893,2164.632829570843,2090.4976530081926,1905.123287762825,1803.909660188125
arabic,2293.732119680744,2374.333731536406,0.0,2313.2245554412516,2215.658498156082,2408.179167396293,2359.516809450038,1987.903952134931,2046.3595988046793,2322.598794532265,2092.4127471316137,2370.1573745087753,2369.9418781383,2172.265392355301,2242.681036553741,2354.6231523224196,2037.6070223713816,2106.7426174807056,1991.8871240962708,2288.663330604307,2210.556302949506,2103.48272648457,2201.995513495082,2061.4177171528913,2390.9529398113136,2151.2183830577524,2029.955209348874,2263.8902245380164,2042.909621051359,2118.7619224695395,1934.5905801898462,2140.9091085180844,2278.5068178603547,2281.4057149074188,2193.7398699913515,1838.3683958968281,2033.5403657271693,2378.865836196664,2214.0114959278685,2319.461297251947,2382.027911099297,2055.4349030037824,2082.6263927935784,2138.265583791581,2339.990800375521,2140.5732176090564,2222.1093605161077,2267.556850278363,2369.84433353368
french,1037.8154263471552,1647.5714057539026,2313.2245554412516,0.0,1056.550174530015,2314.3134005442525,2000.1965165699585,2186.932866337213,1908.4985800229022,2133.118713779663,2196.3810843324854,1929.2896264217961,2072.0589010859726,2046.8805455752256,1950.9863271475258,2222.572656869933,2083.755010959217,2047.3518708971176,1726.2923561089333,1777.0425976719791,1783.954799408481,1862.2274661649744,2058.8169010762113,2027.8622907444187,2080.654197888519,2050.6630038686776,1978.3619606592592,986.8713778989211,2160.6608812811346,1620.626266479881,2254.7369232372534,2182.023515418245,2380.1579430477063,2319.7619987618664,1167.2248327814054,2151.918651826812,2255.19065014869,1595.9497622066958,1050.2251722293956,1659.9353711995,1883.3967892759931,1518.1034713166955,1863.532509106161,1912.8845345056839,1685.4318567828855,2223.6172525431757,2053.802465179047,1870.9473410150124,1110.9719828400625
spanish,1222.1747754615767,1769.303395222739,2215.658498156082,1056.550174530015,0.0,2287.978558687816,1930.4819839042475,2101.4500098394215,1885.328050888997,2084.151227499263,2112.022450573482,1836.0181056872455,2027.5069381657047,2072.5905592257986,1834.594712651819,2176.432291798669,2050.317920160643,2040.8459671984517,1583.9739327572922,1719.754760907384,1737.8134299735698,1840.434471463836,1982.0533818256379,1890.2816415253556,2089.2759407615863,2077.3667718672036,1936.5642094180832,883.4841124795428,2048.4309149023734,1665.3358748079743,2152.1345054272847,2150.82556145744,2360.062827984969,2256.8815495914755,1188.4634432962334,1975.987743788951,2155.859520308467,1746.5595889720398,698.9096103819938,1776.3542845528793,1820.5325766914314,1494.6331190623728,1842.966011489389,1928.566137188224,1782.9148226994143,2206.3818028447117,2051.310201533219,1906.6126694352208,1411.8251521444117
chinese,2307.0089345163647,2286.089930411939,2408.179167396293,2314.3134005442525,2287.978558687816,0.0,2490.2241507753033,2408.8862270720874,2262.6072040001486,2059.804349728033,2257.2792111107306,2444.6780893498917,2501.6055679140845,2406.156399801903,2350.648207549509,1932.844022914606,2367.395683001551,2292.181312072447,2221.4364980299947,2363.035944006539,2378.88151513283,2281.1278102725882,2323.660418390376,2311.246460469854,2321.591373123175,2314.77940548444,2337.3062384701498,2271.044051604209,2381.0820373093234,2260.8647642739347,2349.684818889443,2341.1762120504513,2340.1239455203863,2354.0199034878724,2340.778393438943,2337.3369193533704,2387.5122295637634,2343.5404196217537,2323.3748672784445,2383.923808521998,2378.178214805186,2362.4027120860096,2337.1172816341045,2249.3627098784214,2392.3074170312857,2415.799394377327,2358.7835382166622,2317.41455313641,2401.3721010258387
russian,1935.5169659336523,2011.1050032990358,2359.516809450038,2000.1965165699585,1930.4819839042475,2490.2241507753033,0.0,2257.440942507374,2116.2022182502046,2231.388721013693,2285.5299348255076,1553.5947027980787,2115.0896232400423,2194.43497821039,2034.8334949721207,2283.8389653801464,2226.6461224702034,2015.6534782379815,1981.279923235928,1405.0836406394267,1931.55381711424,1808.4087724012475,2160.141536163951,2134.509359725246,2359.048207588821,2229.610260722243,1940.4461150259604,1879.1971069583335,2103.5369835270712,2105.333410158444,2343.00583569015,2346.103139166927,2366.859146118866,2245.2564550792863,1896.936320895832,2178.6641707133654,2366.9841173679224,2011.5562603234744,1925.4976144570119,1996.728476933591,1523.9051692454532,2077.344917476273,2064.179790364431,2194.7949085189857,2024.8690164993427,2106.9981029842206,2159.991607332714,2138.99682359238,1990.1136573823997
hindi,2103.287568478339,2190.4840739108313,1987.903952134931,2186.932866337213,2101.4500098394215,2408.8862270720874,2257.440942507374,0.0,2007.1893623990036,2290.2247932612263,2140.1696260620643,2281.986704709343,2338.20902623817,2257.5680327906416,2163.466130575334,2329.8672363847927,1978.1565599495873,2093.13649559726,1992.4453637769707,2169.6869525304023,2130.178938077027,2126.8764957360163,2201.7465706817197,1972.837127437688,2375.6276837666474,2323.570603128811,2102.0060301307476,2132.0309510471247,2200.0911364528984,2035.4740165071646,2074.483490162416,2078.8584109201242,2197.6311035704707,2268.2096481684916,2098.5188106819123,1344.512109986304,2098.319253930334,2233.964760429154,2093.0972695572214,2216.3914002620427,2242.8431968911113,2177.971140315631,1950.9165329017421,2035.7455143587974,2258.8778436466964,2089.8731382825204,2094.423610784453,2201.195438989353,2203.3064534653067
indonesian,1898.395436064243,1975.8589523171022,2046.3595988046793,1908.4985800229022,1885.328050888997,2262.6072040001486,2116.2022182502046,2007.1893623990036,0.0,2103.257130825778,2006.372018925973,2100.489074723874,2117.6044872037046,2038.7405240489898,2101.1995906240895,2158.333432629329,1954.0511115049892,1988.0768034885205,1772.0143905901818,2023.1061078406597,1954.1023227729875,1886.1026842921115,2066.7642038299173,1762.0108018321614,2230.9580380246002,2023.2744309939515,1923.6241354027952,1937.87511401042,2132.5292438516612,1996.3287131102172,2004.3487839119719,2079.4687719780513,2115.616906354844,2169.35682721866,1902.9105014277995,1851.8008803717335,2121.399850188325,1975.2226223218372,1897.698827192689,2014.3927307443043,2090.4908545142257,1935.8493702897365,1882.280833059884,1280.851232443324,1995.4270398139845,2100.5659584308905,2039.2337261979035,1977.5645255548493,1958.1315316035789
japanese,2018.8607661187468,2211.545593997366,2322.598794532265,2133.118713779663,2084.151227499263,2059.804349728033,2231.388721013693,2290.2247932612263,2103.257130825778,0.0,2160.0018094867182,2235.497308099125,2303.0164114752247,2185.99983066311,2094.3334198859698,1922.624302768148,2183.549202850776,2096.0394135407546,2013.4446653983089,2143.7199338815653,2171.669948847994,2127.8350125571947,2205.6492330408087,2196.9434725369915,2213.3829653556027,2190.9270265195096,2131.826715118855,2068.953779060356,2169.614483965659,2139.6167740506617,2233.1680206268115,2119.9902287770424,2361.4676467787035,2278.280841637424,2160.14446003205,2131.8645117222177,2391.3564269683893,2185.8891967934305,2105.987709079191,2175.5498487919403,2233.904201768808,2104.0704433223846,2150.013336238112,2139.3552745842485,2217.0833468280016,2276.335986063921,2215.934831725499,2191.8789673299957,2110.1346536517385
