,english,german,arabic,french,spanish,chinese,russian,hindi,indonesian,japanese,swahili,polish,hungarian,turkish,greek,korean,tamil,finnish,basque,bosnian,swedish,lithuanian,icelandic,filipino,yoruba,amharic,georgian,italian,uzbek,irish,hausa,maori,thai,mongolian,romanian,punjabi,somali,dutch,portuguese,danish,slovenian,maltese,malagasy,javanese,albanian,armenian,khmer,kurdish,haitian creole
english,0.0,1222.3850464866237,2176.0048624318497,967.985694464865,1050.295959421125,2262.210302841905,1643.2665162254432,1751.906567383373,1636.5581347552763,1894.886915903306,1888.3512456308702,1648.2686854082829,1803.2122480795472,1863.8350397086958,1791.8668155668206,2094.114652465304,1741.5306282524632,1795.6076238453509,1469.3903951399432,1308.1532170262437,1229.2501641995439,1626.5512603862237,1642.4848268501285,1433.9852624427078,1615.6131384582002,1804.1105283619304,1646.7962055931398,965.349496940589,1823.7306601579796,1108.648581321902,1872.396855108593,1927.1767969436266,2132.116975881754,1977.0807462708656,1066.8513358030125,1735.051794092105,1966.3736204568634,1229.9256191415463,1054.132966022414,1122.7019002528427,1559.0891230497464,1067.272114606207,874.2788440353515,1342.0179639033524,1521.808015103519,1932.225506997595,1700.8227814623567,1482.7168175277343,1059.761142166504
german,1222.3850464866237,0.0,2229.4596480128375,1385.4606801732539,1539.2111437891972,2258.9481436251344,1745.8558602608973,1973.4224835196187,1715.209648721216,2013.8846483464213,2054.0159523435127,1738.1633733211813,1825.8286059812533,1910.9573391334507,1875.8557574069598,2126.8566369392875,2026.79129005675,1806.8821169171117,1658.9859314168257,1549.2013249355573,1221.7887023052963,1699.772382109484,1742.766991638464,1794.1254607050462,1956.9896121443608,1909.9474747794777,1722.5235113395158,1451.9233639515244,1906.9070378824426,1621.3367338831395,2100.7585785967613,2077.6914827662467,2163.206580672563,2035.1607385708949,1460.5854865942574,1983.7901793762505,2128.547878283444,1028.4595121867626,1545.6042928845002,1116.1547568245498,1656.3506960439363,1562.3320064051854,1569.2750955355552,1691.780288636044,1675.334820680502,1949.2732598724772,1923.2597099437814,1657.0538256424013,1523.136320366986
arabic,2176.0048624318497,2229.4596480128375,0.0,2235.554278059526,2107.575559516918,2309.3943210525003,2258.719002536715,1921.965827817678,1981.6409167865802,2235.0931147375304,1977.6059113173324,2244.4135722368924,2249.448483867784,2051.661687250368,2151.3639731535277,2346.716403482486,1968.6279066585284,2059.360358657591,1951.06425859255,2138.8708360600435,2139.1077963938733,2028.7046821631773,2091.5635491849794,1963.5916590973907,2186.7254057502832,1998.56634226527,1949.626118414585,2126.5268693022826,2030.178753241186,2019.8671376257837,1880.6128668150975,2014.7158866702698,2130.2038354973147,2163.5814467311216,2067.542975575634,1739.5690192300242,1955.312477315611,2288.5776174513853,2111.0562713569034,2255.578566986976,2236.7617099168924,1967.098966424215,2051.126786635959,2009.9499785384264,2193.503643039006,2039.8141721643544,2102.4018188672544,2148.9449929385396,2220.853464279046
french,967.985694464865,1385.4606801732539,2235.554278059526,0.0,880.7967220300917,2242.7333444560886,1731.8016282424956,1977.0861185407039,1684.5091527244285,2025.6769452494293,1978.0227998339637,1736.2159519590962,1856.4924641397474,1866.8770350059806,1785.8214259135777,2105.987519029929,1938.028567589203,1805.2506072639585,1477.3131938342715,1506.0902968679782,1496.8084011561718,1664.4401119933812,1905.8405192984058,1699.0736413714144,1784.97597002698,1869.43525018468,1712.3782721740763,873.0362828638185,1909.0456709093426,1430.3368500588015,2003.1887082915484,2008.9985623607818,2213.3796782056743,2053.145786751036,934.826347631405,1942.0942884058445,2091.839945996744,1404.2254563535037,882.2428960859334,1425.1492034532696,1642.8461665618477,1263.168218008816,1346.4176781536662,1535.4916414177912,1473.9898868407643,1983.5281239343658,1849.518510356843,1628.0945455491617,1014.7670952937381
spanish,1050.295959421125,1539.2111437891972,2107.575559516918,880.7967220300917,0.0,2234.403513212388,1702.4654672090485,1918.3676100506311,1669.1775376399185,1979.256976860684,1895.8265605756792,1629.5863110300538,1819.3067114972248,1857.1768228292556,1682.6350152316988,2087.0479256370413,1895.8195493626147,1827.5895945972572,1376.6072229696774,1442.1906316061938,1524.0703455430992,1618.1640363270153,1874.036943013388,1613.1803203120573,1794.489096085998,1901.0515849686537,1675.050906620283,769.0102516500797,1851.4136386278801,1459.264128131015,1915.6052335896932,1982.0312941434117,2176.8967216552055,2019.3804062119605,920.9622761001712,1817.5278823629612,1970.5815993459062,1528.347187858496,580.5585277890996,1508.3323462479084,1571.7477790598714,1204.4562694927733,1365.518515471841,1573.7903849060278,1491.2925929529456,1975.3702419433248,1842.461416576027,1651.9244905162516,1234.6064822945493
chinese,2262.210302841905,2258.9481436251344,2309.3943210525003,2242.7333444560886,2234.403513212388,0.0,2352.648295159614,2311.9929570674553,2171.0575010892694,1914.330860689999,2206.2587420440755,2308.7048121978137,2383.8854059490977,2282.5844478665363,2309.9246452825946,1818.04924871083,2348.7768093878303,2234.841230144906,2183.548114857516,2240.4284625540317,2336.658134776757,2189.630702684282,2270.0152020225228,2197.0269770990753,2208.6533687597653,2224.7166975862374,2256.271034072302,2219.6530902675468,2285.8856271324426,2208.6441294178017,2239.047415291529,2261.94602398838,2192.6292891004573,2269.1807920556457,2261.893544683976,2228.77700665767,2262.2788295646924,2247.022224035242,2231.3486012523713,2310.430474569271,2270.3683422063186,2278.4334388506863,2269.0315247453605,2193.694229609517,2280.9102875718436,2352.2076949493376,2232.1540030364085,2227.053698419469,2287.7709764648425
russian,1643.2665162254432,1745.8558602608973,2258.719002536715,1731.8016282424956,1702.4654672090485,2352.648295159614,0.0,2036.621909353026,1878.105646195883,2090.502416732624,2126.210074993335,1381.1585478570428,1913.991510332011,1954.8975576792925,1864.948587963031,2193.5004217755727,2093.5664185701958,1867.5687250329022,1750.2981552576307,1321.4399346920818,1685.9696945262226,1599.58349938881,1993.5238941051568,1917.9306325178939,2080.991314746612,1970.0284730214933,1730.1912146533398,1677.6807900906538,1819.3510595472533,1819.3129908755532,2133.7016626826944,2160.8775157871196,2231.461662103881,2064.5995035669653,1649.5397451168667,2021.6730202663498,2142.3294144010492,1738.194624170332,1709.6114681731244,1723.9628995262522,1360.1441431949568,1764.5690702010993,1781.8279284666908,1836.341722950185,1806.9273118021586,1907.465425777852,2015.7748023562308,1836.0198723817466,1741.1861168475987
hindi,1751.906567383373,1973.4224835196187,1921.965827817678,1977.0861185407039,1918.3676100506311,2311.9929570674553,2036.621909353026,0.0,1891.608864550857,2099.779950413326,2050.9056590817854,2113.8985178473667,2170.2442463155826,2100.934343108996,2059.726105193312,2225.860044195754,1840.6350860186622,2021.6305191054719,1886.7604889778943,1929.8423414604736,1925.1989162991463,1970.4599460935365,2011.0198481800896,1825.2474984507242,2123.521279091071,2103.8658518420507,1938.4260001499615,1911.1159965315765,2045.0131019466655,1831.9874778046035,1884.6859931932618,1930.8371083851896,2075.3189715178337,2140.7289240625173,1924.5839581798664,1402.8495328529423,1970.3179027167657,1990.4848436724974,1904.852102337117,2000.4682657607798,1993.0158079844746,1952.7296262997568,1730.1363008977337,1861.2406733746018,2061.8093828974634,1984.6391991853138,1985.6113194648972,2015.7371860404137,1963.9317661457007
indonesian,1636.5581347552763,1715.209648721216,1981.6409167865802,1684.5091527244285,1669.1775376399185,2171.0575010892694,1878.105646195883,1891.608864550857,0.0,1987.908409614508,1877.9607360199539,1897.0007519390256,1935.5846203349715,1865.9052974005147,1911.4874756096865,2064.305465309561,1854.166554564466,1832.9527011196444,1644.5238023103052,1720.4262600462519,1718.6753855167303,1744.716931218405,1945.2181990330578,1626.1258621930165,1990.426629171389,1876.8576797546018,1791.2110940448767,1698.8050972194414,1954.8664666460509,1803.2514028113442,1871.5714046066043,1912.5753356542953,1980.0665516907331,1997.8216530802863,1648.7724045655036,1789.6743168195226,1976.4228617312147,1727.067675508498,1679.5556457819887,1752.9881889698447,1848.4749721787498,1652.7532221156282,1717.0533742958755,1231.613638640777,1769.341077977384,1907.562769407865,1892.6837017834903,1743.2952859949285,1683.6518709698753
japanese,1894.886915903306,2013.8846483464213,2235.0931147375304,2025.6769452494293,1979.256976860684,1914.330860689999,2090.502416732624,2099.779950413326,1987.908409614508,0.0,2027.1756739356133,2115.0293334231055,2140.3041977011567,2083.8555371983634,2020.619865121364,1803.714507955166,2063.654390872322,1991.6670024036964,1903.1482426991854,1984.0856493448189,1968.298359174436,1958.9596388872794,2052.1433903660236,1989.1329139708967,2090.7880857130626,2058.518804883593,2005.619374177976,1954.8555575326116,2080.4363860525536,1966.1900730374348,2075.1461551574835,2019.715938177697,2231.507608931178,2153.773306708213,2034.7184918698294,1986.4281434235688,2182.5315215416504,2059.4598673544565,2002.3700922633632,2019.3889081591324,2062.18782549145,1979.6341861547637,1960.590518371763,1949.0154232180555,2061.1152791078503,2112.8076783501474,2086.212833867636,2022.544697896658,1990.09185115083
