,english,german,arabic,french,spanish,chinese,russian,hindi,indonesian,japanese,swahili,polish,hungarian,turkish,greek,korean,tamil,finnish,basque,bosnian,swedish,lithuanian,icelandic,filipino,yoruba,amharic,georgian,italian,uzbek,irish,hausa,maori,thai,mongolian,romanian,punjabi,somali,dutch,portuguese,danish,slovenian,maltese,malagasy,javanese,albanian,armenian,khmer,kurdish,haitian creole
english,0.0,1201.66560182352,2076.2929974901517,1157.709384140091,1253.278951835949,2229.271859583722,1664.861343343633,1582.9559769451912,1589.9710721526699,1817.6853023074866,1801.9032134266618,1643.302027856629,1770.8939040815073,1765.805593579909,1726.6399266615947,2009.1607447544593,1659.7525386566008,1742.8584577965103,1454.854520340171,1329.4703716724418,1155.3902707507962,1586.6845402797658,1537.6929629449712,1232.4462498989344,1565.7537319670078,1714.23834291814,1615.0128440232581,1184.9016621701462,1782.308996424973,1137.7609487529912,1748.2328510319874,1827.871558653032,2062.0684028267488,1874.6553786634283,1216.2111129999848,1575.3081673679799,1810.5744296158623,1132.1327312004123,1239.6262874460103,1052.6503667209013,1528.2140805900733,1235.4475689024057,885.7755134594107,1362.2536569440604,1531.1522657635185,1830.9429228294669,1682.7389422926994,1424.7640647173262,1101.4789693158093
german,1201.66560182352,0.0,2155.5964954457972,1455.6584037954742,1600.8213739452647,2243.3191552379385,1744.3118094285223,1880.9219020798414,1714.9048506505387,1973.3607055709615,2012.5047871567965,1768.7152698717996,1834.9313027594635,1833.7483822149584,1859.3318889854665,2079.8244579096418,1963.2011148804918,1774.6404771400264,1677.5337711268703,1566.9949318329745,1192.744650540441,1668.4956488630714,1646.974635382396,1694.1393770540865,1942.2167646836156,1876.1260176621877,1739.0649672976815,1528.8997597361233,1884.749491689791,1629.0011343622928,2039.102917273487,2020.3693918337901,2109.906113421919,1943.665617149116,1521.2603506736073,1901.916907657276,2056.8548559969654,964.072897490466,1600.231748010074,1084.0281899956829,1677.6178285052918,1651.764723391452,1565.858835058843,1704.7679516688863,1647.716630539865,1890.8818772045915,1900.9820471679068,1654.9776926257205,1566.6618451909371
arabic,2076.2929974901517,2155.5964954457972,0.0,2089.377862684017,1996.566806058223,2199.310519794256,2172.731600727692,1838.8841285673197,1889.4112456660216,2183.185627623381,1890.742754826503,2150.0614359800115,2212.069175319257,1977.6177786464866,2055.5817384541283,2247.327989553495,1914.281835945793,1974.8577886913788,1891.7500327097907,2040.5495022985833,2083.5934717741347,1949.9735029646977,2047.059724812031,1890.2466344922361,2179.8147356611175,1935.195567444921,1927.2093811747343,2009.678588318113,1971.7216112893489,1919.3989149843121,1818.9084007026522,1958.6809898124852,2038.1300923386084,2065.2561054520083,1954.539891054762,1725.9103780232456,1877.4486199201967,2207.670231906877,2029.8723142531194,2176.052832212332,2143.0121975689835,1789.8871948870194,1959.2360773448786,1942.897606939742,2080.3620051429475,2011.8093184116094,2052.2885729435097,2032.432255676326,2147.6922910277344
french,1157.709384140091,1455.6584037954742,2089.377862684017,0.0,968.624495576932,2211.18078535736,1777.7381262823199,1874.6283099654518,1647.2871447259274,2029.7247601161307,1894.220864608893,1725.9854813040033,1857.7906781899346,1783.0039071240685,1793.0547170787954,2083.7087871773506,1889.4810924864155,1820.358747707974,1494.055330702604,1570.720831988206,1560.8240337970767,1687.426924615188,1856.443282931828,1626.78845140468,1807.841107297653,1839.1899582035887,1759.9931941271304,972.1008284742215,1905.995579246495,1429.7208564058756,1971.0220146808185,1906.723271863881,2146.2067660401053,1980.3763988427518,1040.3079002709865,1904.5634860552505,1981.525151483612,1445.1994698932756,977.9338259242508,1461.768731561806,1677.806940802015,1373.3782051616208,1422.8107946227033,1550.2090016927184,1422.8708445317154,1974.493445658961,1796.0784407630852,1583.3228137219307,1093.028647065327
spanish,1253.278951835949,1600.8213739452647,1996.566806058223,968.624495576932,0.0,2211.2021662343313,1722.636864501971,1812.194681439523,1602.1838839290135,2002.4805977784517,1809.2371693412622,1631.6743619277174,1807.2275114301558,1786.1840655059248,1671.7900834319178,2106.2160284212996,1868.4647492474421,1786.0476499103936,1347.8712970009076,1503.017168400555,1566.210215820195,1646.4889299871534,1823.5904171715558,1523.8853052481224,1817.2074989726375,1877.3580043158274,1716.74411662306,836.3582958841558,1841.7575279945954,1430.080776723469,1865.9590741979066,1846.2260413666465,2102.606105300003,1950.0773476568809,971.5418111317358,1768.8546796895148,1875.23501146457,1535.8760112841069,640.4677656468863,1569.5413308646405,1612.3007393904686,1341.6035536890186,1398.3676749748179,1564.311644879561,1478.0230020394747,1933.2746891291874,1798.7990134593153,1629.5255459402422,1279.2772543224999
chinese,2229.271859583722,2243.3191552379385,2199.310519794256,2211.18078535736,2211.2021662343313,0.0,2300.34248339489,2229.6748034206453,2136.3207549144277,1900.2965681205121,2107.380009159564,2296.513859707847,2361.1307989448774,2264.8687202015753,2217.0634378819486,1737.1350557062128,2245.0945462432987,2197.2173696867826,2123.2727529315353,2211.360000826765,2305.5063593865816,2170.8682317739713,2242.3968682293794,2171.4511856745294,2161.839050381151,2192.565330945267,2158.106605507977,2177.30126592924,2201.814553397185,2143.634739794814,2127.0512563940156,2193.8261035306414,2129.348458193319,2229.8442390958726,2201.14709335316,2164.595807449437,2181.243154367389,2273.512354258284,2227.7320796353074,2300.056004736576,2250.3165885032176,2240.853922111988,2229.964098734379,2143.070575413963,2233.0570549999634,2274.006200117769,2173.7827362675525,2202.12748086771,2249.47915018723
russian,1664.861343343633,1744.3118094285223,2172.731600727692,1777.7381262823199,1722.636864501971,2300.34248339489,0.0,1964.9606200374294,1875.4640618399305,2091.707274334977,2033.6585728536709,1375.2005451525697,1874.949382668329,1852.0323498679993,1800.2329147634152,2168.090603013887,2032.5497790665634,1792.9238960398548,1757.5958409785007,1318.734755755636,1720.64264710258,1549.0710490058275,1997.4541040401787,1838.3960883050004,2083.72037684605,1958.0703839830667,1740.2639058678299,1708.4284146777134,1776.3393633268988,1856.1491356900121,2079.0869292442317,2087.8077121379065,2148.834996218423,1928.3762114517472,1689.5697058914416,1931.4283842901905,2144.034894362657,1732.253008246065,1708.7951945504392,1688.9514254270616,1309.6075127539623,1860.6461173113585,1776.601737110574,1869.0028241173366,1813.3097099114548,1839.0560796462369,1989.0580722896643,1854.9798822756902,1756.047112540578
hindi,1582.9559769451912,1880.9219020798414,1838.8841285673197,1874.6283099654518,1812.194681439523,2229.6748034206453,1964.9606200374294,0.0,1751.95465380201,1984.3724494991216,1931.875734513885,1960.6031656627565,2043.5396158919777,1947.1153699959973,1969.160573355282,2154.7320659777993,1723.2111014449067,1870.7762751032496,1750.670620292194,1827.8773461961734,1793.6726336522831,1826.9219959081088,1924.8520319588451,1695.558233617122,2038.0049815198856,1912.1765770870722,1839.3210798558337,1803.7147759270897,1925.3194151962005,1742.7138412660788,1785.1164398499982,1845.661980358946,1981.0164095775185,1977.4657454908938,1788.3667705904004,1266.8423415889836,1828.5528606818216,1834.1348264602555,1815.6795204149366,1825.8110926458282,1936.2010233299911,1849.3042106996947,1603.786519439263,1772.8057174878584,1960.856341706297,1849.1135785481256,1859.8568899757993,1855.938792075132,1837.6428135575402
indonesian,1589.9710721526699,1714.9048506505387,1889.4112456660216,1647.2871447259274,1602.1838839290135,2136.3207549144277,1875.4640618399305,1751.95465380201,0.0,1963.6798789051543,1731.6276185675654,1819.3415776893544,1923.8814427131147,1783.2540748336608,1853.792365847444,2029.8691303045875,1797.0657158633423,1774.974625163803,1564.199883771881,1688.4663655825964,1666.1460257789067,1706.9139111182733,1881.8892513857315,1506.2807368167369,1900.8766692262134,1789.9753088087698,1771.9727075173555,1645.4047062532507,1831.9420865621832,1659.3550837567254,1746.172105396355,1763.2077426947985,1857.2142027296713,1923.4282570202347,1558.7037438123814,1706.3157989128772,1866.013906392017,1700.367690960299,1630.7225414361096,1704.2562283038533,1778.9968763924508,1595.49077964576,1559.223359841525,1087.4249652270503,1673.1917743148858,1855.670687092408,1792.674049014128,1673.589083964795,1621.5216312415655
japanese,1817.6853023074866,1973.3607055709615,2183.185627623381,2029.7247601161307,2002.4805977784517,1900.2965681205121,2091.707274334977,1984.3724494991216,1963.6798789051543,0.0,1976.6871352635192,2103.611492507124,2123.656034392065,2022.4998820839717,1935.9883920502396,1778.7484718190728,1971.0451066862515,1924.727425409151,1867.4173808436935,1989.5220845311462,1938.242618070235,1925.1988933870894,1985.945323914138,1903.0595112193967,2029.2947037012634,1968.3588458585887,1948.764792436026,1925.4709131726036,2006.37924487506,1964.7542512638015,1986.8414227906533,1963.180365850144,2128.6970713756355,2046.6678536775194,2015.3978242972173,1919.9679478845756,2107.520076725301,2001.1570252279932,1998.1930957986006,1972.5262710909085,2060.573216800263,1953.0308701928632,1908.3175393612794,1905.0015828084672,2029.059391096617,2030.592410698728,2061.961784548809,2002.2275619956538,1961.8952634134355
