,english,german,arabic,french,spanish,chinese,russian,hindi,indonesian,japanese,swahili,polish,hungarian,turkish,greek,korean,tamil,finnish,basque,bosnian,swedish,lithuanian,icelandic,filipino,yoruba,amharic,georgian,italian,uzbek,irish,hausa,maori,thai,mongolian,romanian,punjabi,somali,dutch,portuguese,danish,slovenian,maltese,malagasy,javanese,albanian,armenian,khmer,kurdish,haitian creole
english,0.0,877.466872721225,2037.772174086563,1045.431673097061,1143.1603085209779,2170.02857456149,1391.5117748083699,1220.860680739313,1251.1046901563707,1527.2525792789818,1607.5596370506419,1379.4607522379908,1303.8391345152477,1423.2813441416336,1539.4483470298521,1754.2119283002953,1507.446593956011,1427.6206206261475,1187.0336626096841,1070.0251603337413,868.5754420248172,1305.9315496937113,1466.5700885127671,875.5887659998758,1388.0119512790743,1529.176303928717,1374.9494435825613,1038.7750359419344,1451.371774770529,1121.416701240703,1570.0265394751775,1584.299002419544,1748.9323351795106,1660.676647052644,1093.0570111031318,1319.8185095156043,1636.273630391838,819.4693448979326,1132.2381901017695,796.6853061582337,1247.0032248884374,1070.1240443366182,949.4002467033772,1120.982592898936,1326.8132521614498,1590.6968307594595,1603.3046466239423,1158.8464548043937,968.9976870490761
german,877.466872721225,0.0,2046.6526193682603,1210.546941610489,1341.0326488505386,2157.062371360974,1438.2417242863658,1496.8311612658115,1369.829398150421,1705.7727152797847,1758.9761166337382,1447.9715109337626,1357.862277535606,1490.820808699922,1611.4304320103497,1840.294544993951,1690.5443552335232,1434.5486230842105,1357.9608216047532,1247.341710637685,883.6649029776702,1343.1974093633671,1519.710568898754,1307.3212851355015,1668.217317474275,1668.1088941016696,1448.40572390389,1254.2509468000178,1551.8260614284113,1423.4438962181587,1793.8466912872457,1745.4382615265172,1804.8852508812165,1694.7294582660222,1249.735383703064,1615.1410950174065,1804.0975404334017,768.5664585255192,1353.2722985771634,828.6572738048839,1344.8763223615813,1331.418533147643,1350.9360681740714,1360.3506161140308,1399.102258051513,1610.4215484746512,1685.4877054404692,1371.2821964287298,1284.9688539584533
arabic,2037.772174086563,2046.6526193682603,0.0,2013.722144401206,1931.848755456748,2127.182979836908,2047.53843345902,1802.1012330509752,1814.0358761192351,2114.4014560378214,1791.9667129832296,2011.738679793944,2069.0786476715834,1928.98393559439,1981.8707737357809,2141.850070384098,1852.9851429512246,1921.798541834936,1854.0386399086094,1970.3746157944952,2014.9358100610143,1916.379361725667,1986.6968469661133,1916.8659104460708,2086.360703094564,1923.790826323411,1898.5814434599067,1933.875174503029,1893.8173114866663,1862.2530029424079,1774.2218606047172,1926.1253755190992,1954.7163103755015,2011.4350213405644,1882.8049085631344,1667.9367912312894,1794.9580219700028,2095.777322199369,1940.5212639221093,2076.433816747553,2017.4696427273361,1766.6246020250314,1877.6104898255533,1882.7581979821257,1952.5981983992926,1915.7454808130085,1974.6798882753903,1951.7931365919892,2004.1614449780614
french,1045.431673097061,1210.546941610489,2013.722144401206,0.0,798.6273103489051,2130.968892396858,1475.1798860867923,1564.0632578876084,1261.7804145754799,1830.4610069182147,1635.3073278928484,1373.394888820539,1518.6576311601716,1532.5375140534913,1501.1127977977742,1887.5940833470136,1706.03913207754,1586.2686955472554,1325.6132158888304,1305.9532563985451,1300.1439315034036,1448.5011495855374,1760.5955017253566,1344.7541580123477,1590.5201425783457,1677.5567414166917,1512.0552651524135,819.8415698447576,1624.2120597634782,1226.2371518248415,1741.0002222287978,1666.8254999873966,1827.7185058782527,1789.9012391623726,835.5222237389276,1678.59616184955,1718.3746286022981,1183.5606614768792,831.0879154441005,1224.9715301509316,1393.7526780981914,1152.8297706423975,1259.025033140362,1229.3404132211035,1167.5951505154987,1738.2756357778574,1643.0839194658993,1280.886057584887,968.760381819336
spanish,1143.1603085209779,1341.0326488505386,1931.848755456748,798.6273103489051,0.0,2109.5592096526425,1453.4179904742064,1542.1179421827633,1207.7092524107313,1822.585247585263,1581.624134637873,1310.001553333637,1470.9013505383762,1540.9338768152463,1445.4880417711609,1876.7446505073349,1673.6213723393507,1575.615239452053,1180.5282275686463,1242.5559026375233,1330.3758398119487,1386.3709981317631,1754.0259751784313,1277.9095226576603,1566.0629313956165,1671.0709264965324,1508.1675429107427,715.3284497305444,1590.6778708340569,1230.3532948234263,1670.1466694968701,1647.2420631258824,1809.4091054247008,1734.8166756920737,796.6577668726135,1573.5386734609322,1653.7667980867666,1278.7144963165867,518.9913766759664,1321.0638091173194,1311.638429992447,1126.3931558130412,1233.1229560341353,1223.469250454598,1177.601318320139,1700.4568741764867,1655.452807298038,1310.4937245484632,1119.957024808507
chinese,2170.02857456149,2157.062371360974,2127.182979836908,2130.968892396858,2109.5592096526425,0.0,2204.924042672612,2114.323138248245,2082.1927699067123,1864.8910319564109,2063.1745820290266,2202.616510144931,2204.1185168092047,2128.813932854191,2170.335709565668,1672.374936543962,2144.492743137916,2118.1659413764046,2053.683678696431,2136.5106021357187,2209.405192828339,2039.2989892720775,2131.724699904779,2085.898831092741,2121.8003966005895,2109.016573272121,2087.384542454274,2106.431572315615,2115.695773043711,2078.3843824672463,2060.553697176142,2093.3222106904423,2043.6543544557683,2092.3447714444574,2104.563630388924,2079.2696014384687,2149.5661739630505,2166.706529916327,2136.461802382686,2243.034320991998,2153.960832368263,2190.8319288511025,2117.4329619778573,2102.9180814429537,2166.4754243892166,2158.315570934625,2117.0508604007987,2136.432208741882,2164.0499911855773
russian,1391.5117748083699,1438.2417242863658,2047.53843345902,1475.1798860867923,1453.4179904742064,2204.924042672612,0.0,1651.8576756754894,1517.282273598071,1848.3830009717487,1771.5054242001947,1213.1875482266144,1473.658407909933,1565.0240580991629,1561.9492227258402,1949.3915573988581,1769.5701334533142,1546.3858102126203,1461.9659557270927,1067.0296789212566,1400.4671060415176,1278.6428721941513,1824.039461741251,1544.6435433782272,1805.045028498161,1701.152749998215,1439.7700594910573,1417.589733696099,1452.7595385047775,1599.0396400498237,1837.0938849274878,1852.1454631377837,1892.179306334041,1669.027027382213,1392.2333529036612,1659.230165552877,1867.067292081592,1432.4966763321477,1431.311459132781,1414.8572333139496,1075.4629173644921,1506.9813171620638,1532.0978976210506,1532.224716811585,1481.247101342189,1565.0006341215526,1770.142634948144,1523.6979874407384,1442.987232257576
hindi,1220.860680739313,1496.8311612658115,1802.1012330509752,1564.0632578876084,1542.1179421827633,2114.323138248245,1651.8576756754894,0.0,1517.9114972250766,1746.842588957946,1678.5178180809191,1716.6334946441734,1663.0631383141792,1625.4837055938099,1728.1374277491445,1904.9830658430453,1489.5750629347767,1643.3115098979936,1503.6813763112627,1460.8363969209777,1448.979068980381,1572.7733922526677,1741.4693943380285,1359.3803627689567,1735.08565274993,1697.0876035731958,1581.8490740033847,1535.2591029972762,1607.0578691389344,1474.8369098852818,1622.1902062405377,1688.621805126394,1753.0655118032735,1739.389507127786,1485.7481082093918,1028.146705096579,1703.9214146264908,1483.2569194367945,1540.5639965186576,1467.826963271856,1562.988430428933,1540.8721297326983,1319.0297224108995,1490.850667446609,1650.807557159355,1659.8969684970937,1645.6802283352008,1527.8250765918635,1501.2868256590748
indonesian,1251.1046901563707,1369.829398150421,1814.0358761192351,1261.7804145754799,1207.7092524107313,2082.1927699067123,1517.282273598071,1517.9114972250766,0.0,1746.2997119927666,1526.6516151151122,1460.8155853942212,1523.8119272961405,1474.7903623362024,1535.1722160431618,1839.4277084500914,1570.880027872282,1522.8714921524424,1303.293381390305,1333.4198191696066,1314.5118786484913,1413.4387615183457,1719.2281236436797,1216.1965965621023,1587.0529885888322,1631.2912251246985,1468.0105163466303,1226.6541696488493,1547.0601819610083,1361.0803755961872,1563.9006604296803,1562.11031064439,1652.4919585516323,1675.8830584554248,1169.7479868483015,1473.9240428846156,1605.5112092911845,1370.295700210644,1223.55513074473,1329.00706106745,1410.128645410416,1212.6910169746325,1244.9752633271219,781.7177589410772,1317.3397575368278,1623.4211367578741,1598.649014112196,1278.6748663661124,1245.651628960288
japanese,1527.2525792789818,1705.7727152797847,2114.4014560378214,1830.4610069182147,1822.585247585263,1864.8910319564109,1848.3830009717487,1746.842588957946,1746.2997119927666,0.0,1858.3292338004583,1902.3626373746954,1819.0412621106932,1766.0790367553454,1823.6635309881747,1511.2546060946481,1786.121497619722,1730.3669768541108,1654.8056592552373,1716.9416446541723,1669.2781830597587,1721.6198669060896,1853.8458894382168,1683.9737256868439,1884.3632369142297,1860.588224004057,1758.9985727185244,1748.2592680465416,1775.3009962365363,1792.1226538178846,1860.0042006116944,1821.1666122244228,1935.1703297190236,1877.9587299288153,1780.8796695774643,1712.7308705768835,1954.466026837412,1715.2821366888277,1779.1279176503724,1663.5416484238847,1781.2244060617725,1758.4157437828917,1758.340828834825,1777.9300363675281,1848.5736528437499,1845.4018584982605,1930.9709306159837,1788.3067302502443,1710.0525725105654
