,english,german,arabic,french,spanish,chinese,russian,hindi,indonesian,japanese,swahili,polish,hungarian,turkish,greek,korean,tamil,finnish,basque,bosnian,swedish,lithuanian,icelandic,filipino,yoruba,amharic,georgian,italian,uzbek,irish,hausa,maori,thai,mongolian,romanian,punjabi,somali,dutch,portuguese,danish,slovenian,maltese,malagasy,javanese,albanian,armenian,khmer,kurdish,haitian creole
english,0.0,1542.0534553718473,2384.506812242214,1301.7437022798856,1444.6421394479144,2426.600430771638,2006.6321885361256,2125.7228659283214,2127.053352996085,2023.9008233425704,2265.491639909161,1990.6464223856422,2148.165051439582,2189.6190322470025,2056.006864261101,2243.0988297212634,2042.7132211628596,2083.4354229836736,1802.8828161234333,1823.680876660735,1647.479238453349,2027.0411514829107,1830.3185853878467,1899.186507803349,2093.8568698403687,2140.89888371103,2072.15900939882,1428.4734085279094,2245.159935154623,1335.1434381155696,2236.26882762897,2230.8710157507016,2365.6282199471175,2290.455843722598,1620.564963966329,2025.4958723802163,2289.263544339389,1538.3585781844176,1447.555565241432,1539.8515963953082,1977.930763217819,1551.9938244275834,1789.3638319396357,1948.703262363981,1924.7551634692777,2238.7895091221744,2045.0940203520847,1901.347462019101,1507.7658834566982
german,1542.0534553718473,0.0,2311.120950655251,1701.668077345368,1846.5937498239296,2361.9051072077746,2086.8471763998323,2157.106882579464,2060.945757463155,2207.644380402323,2320.779413354067,2022.1057875094837,2118.1200529497264,2160.14259660546,2132.3993060953107,2230.9881114308505,2213.0716547319307,2110.159506289919,1959.0077133016512,1974.5745699666516,1525.9741748838899,2048.8048702048413,1876.0647630770193,2149.9574348374504,2312.512847706593,2134.4247505976714,2044.4944981939805,1790.6747466714303,2279.4430864967353,1840.420655630437,2392.691499603254,2345.8050946628314,2336.734531103388,2268.134728024855,1815.7655811553047,2198.503734456805,2378.6795078168025,1158.7148310543323,1880.3017631096377,1412.0408805544575,2028.4729275361392,1952.349691410173,2125.8776306551886,2057.5790632315393,1962.4596844558037,2162.118607278607,2121.498169186629,1941.383019256827,1875.314607020611
arabic,2384.506812242214,2311.120950655251,0.0,2364.1242531301277,2227.2597326218147,2381.4171270983443,2417.981823829527,1955.0812746292877,2056.976786919304,2317.044474933529,2066.7513322829345,2396.223741643716,2387.3714749164797,2185.9803400401174,2247.7269913230766,2490.6793428329333,2069.5831044246656,2109.2069423870767,2059.128671300511,2294.5792075171566,2229.6970236181087,2125.5925275078907,2200.1347128089865,2017.5428519482139,2398.4135377750504,2144.0508819620723,2103.469171730835,2253.880414341278,2112.011984418511,2119.4455419802143,1909.0591860576317,2101.1255181993615,2251.9748709423366,2337.82151391697,2174.5518134138915,1812.0679261051318,2014.6032601930742,2403.7211394940514,2198.1178201305356,2399.624195856253,2402.7700339004164,1974.4420910837289,2058.568699406406,2149.8414590064353,2329.5892102858097,2184.5239304917773,2301.1760052872974,2302.3020644287762,2385.0733050158924
french,1301.7437022798856,1701.668077345368,2364.1242531301277,0.0,1206.1241142954384,2418.0841320789696,2079.413837352298,2253.854907097037,2131.5866646540185,2179.4008072509714,2335.964607515512,2038.0523721553343,2087.0990888105075,2141.6724787131443,2023.0502431648972,2249.7889746651813,2150.7024719638675,2104.4293323847673,1806.476613657325,1886.6848336386936,1874.2070597364657,1998.4713736768517,2078.7280265244167,2051.0296917497726,2179.8437421583944,2151.429814149091,2090.601332607514,1189.870150107121,2324.9619973081885,1697.7057905545919,2319.933239217453,2274.9542333446834,2440.142365854189,2333.855967228686,1415.8975331079607,2202.7017127361414,2397.7798498009925,1735.306445059253,1199.9936377600739,1750.5774684006992,1965.20719157067,1752.9131922249228,2078.0624702473588,2078.5616106034995,1755.2445503222684,2253.03055423415,2184.9495569230885,1957.265898682146,1256.0469660519145
spanish,1444.6421394479144,1846.5937498239296,2227.2597326218147,1206.1241142954384,0.0,2420.4637292127422,2000.5723119342274,2090.5998911029565,2023.1275380597158,2092.9424310246295,2197.087125146459,1935.2958869476818,2072.3803703737794,2104.5327490381796,1826.2845665235998,2193.206628996997,2113.97354125479,2043.2344492242373,1658.3401383700298,1855.1296616113993,1854.9772449122697,1976.0852820635514,1994.17611667429,1884.8980242863606,2163.2704124474885,2176.557149350129,2021.1025510924005,992.4470543163086,2171.8729830393695,1707.074382011667,2177.4763856217733,2180.0141457598675,2387.006870654003,2271.6758011719617,1390.1318965304881,1993.5885672149577,2197.5156547944157,1826.4463588695887,761.3424653896029,1871.0771385111018,1926.213235929749,1699.156323742987,1947.3769220442912,2015.3607085403944,1850.7307700979131,2231.9729885920488,2098.8205226896525,2006.2123277028566,1594.180892192675
chinese,2426.600430771638,2361.9051072077746,2381.4171270983443,2418.0841320789696,2420.4637292127422,0.0,2479.1173765228687,2443.3594480438105,2309.2119922822994,2134.611760436386,2323.7864360998187,2512.262667497984,2548.9443157749206,2409.7528540214366,2354.5414454273955,1932.7924903495118,2383.3228252345275,2354.9998641897078,2291.77785695294,2429.500419235448,2512.4975150308023,2297.2958662458254,2403.215258618508,2315.1568960636514,2326.28069022193,2344.2281853298673,2390.4620855730054,2376.357026731416,2394.7625350903754,2311.8075517735265,2387.512759428105,2341.060858907006,2321.7829115287564,2436.55359024327,2341.140697350398,2365.5473504700653,2444.0796533019984,2459.202025825193,2399.6443528363257,2544.9807950511977,2475.1466009085984,2390.5372766634423,2401.748215007246,2310.129819149831,2432.7280538938057,2463.9308247220024,2402.3782666676434,2373.567727978078,2455.0412765561096
russian,2006.6321885361256,2086.8471763998323,2417.981823829527,2079.413837352298,2000.5723119342274,2479.1173765228687,0.0,2249.6729379063086,2223.0231821252537,2256.7809019533365,2368.351863806499,1599.6938595332856,2155.388441087718,2225.977315944948,2050.4979804378295,2370.1520892207423,2244.374106935584,2020.5758907513557,2033.5176452673327,1485.0410135210675,2071.929481960765,1845.8784332960743,2197.0712973220257,2153.7969631785763,2394.8497576061886,2224.695205097812,2037.1011429289638,1971.813953830655,2162.3103437621926,2109.2625548745627,2394.5903724479995,2339.810861379582,2439.6046035900686,2256.3459748950318,1939.8794813152317,2223.404329282304,2423.1723493992376,2128.962016506674,1977.6450911477857,2106.6445073330387,1538.5927291123387,2185.871720980536,2149.1584497447593,2284.742325161501,2149.567411725548,2163.461392713967,2267.5864260235653,2224.4411820992527,2120.7928224429697
hindi,2125.7228659283214,2157.106882579464,1955.0812746292877,2253.854907097037,2090.5998911029565,2443.3594480438105,2249.6729379063086,0.0,2024.8452669087883,2280.4002655995364,2202.515512141575,2282.8176154881585,2313.5538594661757,2254.2914092854003,2236.452230637833,2393.856273188075,1984.9091796337275,2138.392861243834,2062.5017908166515,2158.381137376198,2119.0717661499343,2119.540135346839,2181.86537838477,1976.4819686606597,2388.749466711689,2293.3783262111883,2138.2780405668605,2186.745539433186,2212.0200123890745,2102.7608598561415,2038.3674252529045,2026.9568315121332,2162.7363949296587,2284.977490754218,2140.8653046208365,1308.1983077904335,2078.599059633238,2235.729787925607,2077.8778477496817,2253.0184707212593,2263.73535363225,2165.5446523084433,1936.707074307991,2064.9415692573657,2282.9235362061722,2160.9482557677293,2106.838152097987,2209.931961693925,2249.5471783642965
indonesian,2127.053352996085,2060.945757463155,2056.976786919304,2131.5866646540185,2023.1275380597158,2309.2119922822994,2223.0231821252537,2024.8452669087883,0.0,2216.2308031510893,2130.3269910814784,2229.4746112971734,2218.436317913075,2109.259551555112,2145.370588574472,2208.367413925238,1975.9334216004893,2035.989041071199,1952.6518250864294,2118.1411445889466,2080.033296484977,1992.1327429013047,2179.8562591675445,1840.3958853003369,2272.377813446581,2091.578564894581,2072.656975881809,2092.0219196220746,2245.1779725148554,2079.4243353373386,2085.0807631058246,2052.8453778728176,2118.9572782739356,2261.3359086287137,2057.2104498557705,1901.720484538507,2167.5646806963537,2094.7230124884086,2075.17882908781,2189.882206225674,2211.3660107655746,2063.5019753393435,2005.7911554503642,1293.565575521063,2175.253665319552,2186.398909741089,2143.8039261562094,2154.1516392918365,2149.861549102404
japanese,2023.9008233425704,2207.644380402323,2317.044474933529,2179.4008072509714,2092.9424310246295,2134.611760436386,2256.7809019533365,2280.4002655995364,2216.2308031510893,0.0,2151.461243799462,2299.9724266154735,2327.086068896062,2268.6936997248877,2137.750737558929,1985.7384657632626,2129.869083200294,2138.7848265890734,2033.4553195610904,2173.2724117797707,2228.7331140384767,2096.2842866603546,2219.0944006752725,2157.5911178905094,2244.4223071542183,2212.460471917951,2140.537564113426,2054.57533062872,2259.578329753266,2062.631606494109,2192.7301411622493,2126.3929245951726,2359.1707151524474,2270.6478184705634,2125.401503026053,2139.622658425809,2378.252444066179,2229.258429875487,2097.570587760369,2233.451072596553,2220.7217521938287,2132.7699256256305,2203.5268012970914,2170.7237291761,2220.4820842518334,2296.2807621058373,2204.120091951905,2217.8043420096083,2146.140859522815
