,english,german,arabic,french,spanish,chinese,russian,hindi,indonesian,japanese,swahili,polish,hungarian,turkish,greek,korean,tamil,finnish,basque,bosnian,swedish,lithuanian,icelandic,filipino,yoruba,amharic,georgian,italian,uzbek,irish,hausa,maori,thai,mongolian,romanian,punjabi,somali,dutch,portuguese,danish,slovenian,maltese,malagasy,javanese,albanian,armenian,khmer,kurdish,haitian creole
english,0.0,1395.4684206125569,2351.769654129462,1803.285898323974,1951.0906050584554,2468.550634853192,2129.537160099098,2164.4833239386644,2134.2065800183273,2050.1348253342003,2205.36526039929,2124.999635718894,2214.415571893545,2276.5509730916147,2185.256711832148,2330.368685713108,2124.7424367981307,2125.506126087057,2060.173094874861,1867.3057043096826,1405.037718046083,2099.605704150661,1479.0979110068695,1939.781719774232,2072.2694017544572,2103.9352582968327,2195.61029729967,1873.3448419163935,2280.992089417368,1441.3533768899167,2187.5279189606395,2189.451878738019,2301.6368652719216,2252.3058173351624,1927.1175584162522,1981.7348380345325,2241.704331495648,1276.008116078749,1928.0897583284966,1290.6416223361193,1968.3172826930231,1885.0916932199634,1749.3197271783145,1967.1837721696945,2020.8947844512134,2204.6618509092177,1998.7779660687447,1885.7981076301035,1803.2285833787655
german,1395.4684206125569,0.0,2355.4253311178945,1820.1877167325065,2009.3591656822578,2345.621213809878,2148.323137254721,2164.941613859162,2105.177319929483,2214.0412484598405,2303.645256383471,2163.344108572697,2165.264628057191,2280.5640466021605,2210.3534275957677,2295.9986879725884,2298.555161310969,2150.279934700355,2077.2005019067888,1982.1170995317918,1483.7310162545032,2047.1496781874944,1653.7567241875965,2151.896091453943,2285.4431963262987,2150.263153035228,2145.0163368462067,1931.3154334341552,2361.731409874206,1862.9290757793376,2302.7749952640547,2281.466500036482,2361.55240801226,2273.7603623445375,1935.6983513284727,2215.0324961646456,2334.924539185265,1118.1178878164553,2008.8252630783231,1318.3875048118657,1990.521293915104,2077.371967934934,2095.4609481961106,2091.0807034381746,1980.4942584910004,2192.5958247598605,2139.7077484307347,1968.416167916146,1953.3127574846487
arabic,2351.769654129462,2355.4253311178945,0.0,2451.713010592187,2246.102044229873,2401.7403729280545,2366.0830107803076,2004.731546430834,2095.32760168807,2283.3413123873142,2082.852743938995,2412.824496398662,2463.2943148544878,2245.4147011474706,2302.393849334816,2472.7031797825334,2120.716178882847,2111.590458925347,2029.5471276978415,2302.787889650888,2217.8608219452626,2168.9902283222314,2215.5003098445472,2102.965159094775,2453.267939994145,2174.998657293644,2151.1577806700325,2301.127480807798,2216.1992423199863,2135.7041404598167,2014.5378262517868,2153.558481763526,2319.089965418408,2321.9179048841543,2201.687318647767,1821.0321109528445,2039.0693939113623,2442.918342103654,2306.6360372406793,2367.514668875117,2387.9986222735856,1934.0149286642825,2096.2759077810147,2176.65973093666,2340.3001819866454,2227.191865584913,2281.7564990144933,2289.02072524937,2419.2315169526564
french,1803.285898323974,1820.1877167325065,2451.713010592187,0.0,1342.5554178794537,2379.488125125001,2153.6830841210467,2264.3998140598837,2128.021929004608,2265.908651099903,2318.088638093136,2160.8777200418813,2204.497390436182,2202.652223062752,2073.9390090277993,2255.2280660865104,2244.7441164471875,2128.7177581721617,1959.3032299703152,2003.5048736204349,2047.6733468406337,2037.404113537997,2075.737267809047,2193.281179980728,2210.0955286798735,2156.933629250192,2211.8108770226754,1298.7831793078658,2352.3012268356874,1884.2632231670975,2367.2264375513364,2291.011070765437,2473.274660124797,2360.1559231827555,1550.6016529155822,2282.9779029680208,2386.3319363030664,1846.679901015997,1372.9237043007752,1927.5811878097354,2007.8046595622973,2073.973180225794,2116.0699685342806,2144.653528678969,1872.198605930439,2257.11922011662,2248.5106888958926,2059.7640529979767,1369.1952531682198
spanish,1951.0906050584554,2009.3591656822578,2246.102044229873,1342.5554178794537,0.0,2329.357402827682,2087.824671649375,2152.068177624385,2059.82341281999,2234.2572463529596,2237.1930867755545,2024.8392653422097,2158.7825047160395,2218.004558889841,1905.0900990911975,2255.9694925168706,2196.434897889177,2081.8466192676838,1822.9144125942455,1933.498050650044,1998.287705622699,1998.3861746502344,2063.936073509224,1995.0581918796486,2277.0190467335747,2225.8021481122587,2164.497524207696,1169.6255786955546,2234.5195165177142,1898.5733495516104,2218.5199540024378,2183.651521172593,2485.425613022094,2338.8980861700193,1524.2834938851959,2081.2299748194037,2213.223212276811,2027.030266402269,921.5940761410885,2039.6986083222303,1967.2259599898002,2024.268794682901,2039.4263756713867,2165.453052466909,1983.959968379942,2236.0720556357724,2200.613431830914,2113.5763379386185,1754.3599479256306
chinese,2468.550634853192,2345.621213809878,2401.7403729280545,2379.488125125001,2329.357402827682,0.0,2522.5068089982624,2443.6029267966737,2241.2737399142507,2147.4451017907586,2315.4732062406224,2457.099725949579,2532.9222605370487,2436.288411128047,2384.7266402904042,2078.4407855407208,2409.9539131419906,2295.986279767733,2217.6208898814916,2418.128233799125,2466.785561962533,2314.3200622852514,2395.151853948139,2321.4868924312696,2384.9226421092553,2307.04172132172,2336.5183894591364,2348.361619886,2395.312211241942,2276.4772282387667,2349.335924431303,2312.236140301301,2288.892105450843,2394.553028035393,2368.0930848189987,2335.0397223622085,2447.5312270540103,2409.0998988126385,2351.4553363127675,2449.0872619091824,2456.0017960313617,2408.2817242536644,2388.977593892352,2339.2829668853938,2449.167484141284,2513.7891997017778,2354.121544136959,2373.6518091977377,2462.332617646941
russian,2129.537160099098,2148.323137254721,2366.0830107803076,2153.6830841210467,2087.824671649375,2522.5068089982624,0.0,2300.24598143222,2284.37294583271,2312.060387702292,2342.5648408116326,1496.2110478854609,2226.4146082983257,2300.1674145680627,2107.2960674763226,2423.3510652663476,2302.5932307706767,2136.5458157970834,2115.0857205778625,1475.4200463546697,2103.697333014813,1869.6094438107475,2206.591795811891,2247.5076606427447,2405.5830912479846,2217.083250068656,2172.640277002905,2058.453328792049,2198.6242102072156,2165.20800432563,2399.1422784441575,2350.3615050990556,2455.7267241383206,2346.707115555662,2042.808218468725,2210.6093310579536,2445.0187881994502,2150.1917758351165,2061.7498721870224,2114.103959057218,1436.274476832276,2330.031730074403,2182.599494682875,2354.408892379658,2195.1700987275553,2167.4214584491624,2333.0029343460565,2167.952546645297,2228.950911835038
hindi,2164.4833239386644,2164.941613859162,2004.731546430834,2264.3998140598837,2152.068177624385,2443.6029267966737,2300.24598143222,0.0,2053.2422898477143,2298.1872779468085,2179.03818490777,2356.17021006882,2380.0927229253166,2308.6735784584157,2242.9922610092685,2355.330428747806,2109.756501465645,2144.1869126619663,2070.1688406127323,2253.1989421703997,2121.337350201618,2218.0602353744534,2146.3738615582856,2052.756010261938,2500.8601259754705,2320.7498410636285,2221.5626404987356,2242.460173127589,2294.028000426482,2109.7884353184354,2136.074193942468,2109.7882053091685,2302.9440222069397,2288.6235467170645,2127.5806956530755,1331.9510152961575,2149.800126728294,2205.385696456582,2166.9975981348057,2245.605379948981,2269.175007122604,2225.1317101516256,2021.0865530500746,2101.1174484249514,2273.8333714615283,2140.172880210319,2173.831863995237,2207.75059982575,2279.1473065006658
indonesian,2134.2065800183273,2105.177319929483,2095.32760168807,2128.021929004608,2059.82341281999,2241.2737399142507,2284.37294583271,2053.2422898477143,0.0,2166.41033103611,2025.1254669352104,2308.0683312793108,2252.1228310520964,2148.7492489559677,2167.3593857778706,2204.9376139124647,1997.1833162657986,2015.453645027315,1934.9474874663445,2112.090137260673,2074.868859217383,2029.0250327455449,2109.7611361740883,1771.0554435293745,2298.994021364078,2059.4151514090213,2101.0969712944166,2131.005262029074,2276.2148593799243,2026.3488626185695,2030.5757966926303,1981.6747533553357,2223.28442470581,2252.4660938525935,2026.159840558695,1917.2349220339568,2180.4662989060453,2098.7565555474657,2099.056874654802,2169.832198766383,2199.4654325150323,2134.9096788067236,1931.613309043049,1356.2620182319606,2142.6144570609645,2153.8461986063426,2089.256559626247,2132.170477594791,2161.2755287610507
japanese,2050.1348253342003,2214.0412484598405,2283.3413123873142,2265.908651099903,2234.2572463529596,2147.4451017907586,2312.060387702292,2298.1872779468085,2166.41033103611,0.0,2130.300894760149,2355.4596676604942,2376.3295601756404,2244.6764837280584,2161.4363006588133,2117.4858294483,2150.6743436823485,2145.921668624419,2075.8977701777803,2207.130496789736,2175.3451002899874,2137.5180171262805,2115.914632056337,2171.8036571197713,2204.8178027034846,2155.1136192221675,2217.4953144303795,2198.3044927166234,2286.5944131212673,2138.7999661687186,2168.6446698598293,2096.2011160231946,2313.135966037091,2238.2644585659227,2222.9393396184987,2104.4635513975873,2365.700927132317,2234.0074882527897,2223.0841811823875,2257.9848980385113,2282.252585976304,2221.1908478139853,2174.726357960597,2158.777515698041,2273.4074968423406,2262.6239998000733,2214.8975136230188,2296.586583765901,2329.904043823374
