,english,german,arabic,french,spanish,chinese,russian,hindi,indonesian,japanese,swahili,polish,hungarian,turkish,greek,korean,tamil,finnish,basque,bosnian,swedish,lithuanian,icelandic,filipino,yoruba,amharic,georgian,italian,uzbek,irish,hausa,maori,thai,mongolian,romanian,punjabi,somali,dutch,portuguese,danish,slovenian,maltese,malagasy,javanese,albanian,armenian,khmer,kurdish,haitian creole
english,0.0,1355.0424868723521,2275.8912891399123,1131.1746771851183,1226.1617845605217,2288.111872097598,1838.1650688910206,1870.305610296287,1838.6799692780169,1892.316143646847,2001.9597326153284,1803.3519398333924,1967.6263904180933,1976.82237092026,1898.0421818274483,2105.610492440209,1815.915980042892,1901.729781181082,1621.906215884678,1514.343281308155,1357.12756700286,1759.0591403577712,1694.3431957880564,1562.3775559778117,1690.4041419025207,1858.5126833273964,1814.420709992398,1148.9810653102406,1989.8978020732307,1074.7734187158853,1968.347605719737,2008.0791776721087,2172.697015213721,2069.8365437613766,1275.8478656974003,1877.3911434030454,2030.0144697522023,1328.9741047351695,1186.8845482716426,1257.5985440724169,1747.4083177656782,1284.156543474588,1027.0074675062733,1551.6988092073623,1707.9876492319927,2008.3754515239975,1796.196336752045,1574.3710522030735,1151.4809154706609
german,1355.0424868723521,0.0,2266.9699584697705,1553.6734114430212,1684.0395231103082,2279.634158993015,1898.0937270210898,2038.5358309054839,1862.086191533494,2067.2694535081264,2162.4009190703914,1916.984666983697,1966.5148836419007,2040.5685508386323,1941.3343093704473,2197.9967919140186,2081.722501506509,1952.9891419380492,1808.7169979061086,1758.1173585513038,1395.898469594364,1849.1675994166508,1781.9084904640372,1938.5284910119854,2074.463721786945,2024.8567449273355,1912.4919334539752,1605.3153541106367,2098.955771129086,1686.4122086763296,2209.6884198496396,2155.532880634068,2225.6040682968182,2079.889345718104,1639.4156677221522,2129.1839114464083,2215.7595830957807,1135.1699209909114,1646.7777238368474,1260.388184461511,1849.375818457059,1787.3373044241969,1727.094422542902,1813.892296057447,1838.1832962626522,2023.821630900367,1940.1658261803188,1800.6689535318708,1713.3999254407552
arabic,2275.8912891399123,2266.9699584697705,0.0,2231.341977143577,2150.3737983068527,2312.3707808305967,2286.9683354196995,1953.142309784685,2021.386533435724,2222.9429382441745,1992.1828389274294,2329.4175834072657,2319.0384306086294,2085.4421739723307,2150.058695623749,2337.4430342348523,2025.157006099008,2070.558233528711,2015.1848980500854,2244.7609535568145,2176.12320881541,2070.0437991373215,2143.6034368201676,2025.2910116173798,2293.218136243033,2057.2913052951494,2027.8575831535793,2197.3441548675632,2021.5046158922105,2081.64591451728,1923.427821642516,2074.1750076367707,2181.183947070173,2133.031652244388,2079.6465208778122,1759.262136744204,1978.3671114393992,2335.070097962215,2130.420548374492,2307.068247762276,2268.4263056994982,2002.8190074241036,2121.964956516981,2124.8792245611967,2271.247965463275,2103.807153327685,2147.4987289559476,2210.0725438051336,2247.6735865924115
french,1131.1746771851183,1553.6734114430212,2231.341977143577,0.0,1019.6354570582962,2273.9379691293866,1873.6007057609916,2079.2635893577312,1839.0491296272342,2052.2471475327843,2110.6401248820484,1851.779059582053,1978.6816424720423,1974.8622070002891,1877.0074148002395,2170.692002937654,2008.5493946918264,1958.7440954318017,1642.9779220603907,1690.5274214508174,1682.4082527325231,1823.4445764924455,1984.2856080562551,1885.3464715865457,1903.5000538427419,1971.6377332674522,1890.516479941857,985.7987095043254,2050.749114127258,1510.1055851347073,2097.8161211171873,2103.8226250643706,2270.3717710536102,2146.6336313075562,1104.2010487505995,2074.1029528107365,2184.7026175565466,1567.3754882868145,1014.4745204093474,1575.8828122980333,1802.5009609446083,1480.6687891199126,1635.043749925383,1777.4807094811056,1624.2699130911867,2072.9416379126674,1939.7110310077962,1754.3192615798332,1160.77923309764
spanish,1226.1617845605217,1684.0395231103082,2150.3737983068527,1019.6354570582962,0.0,2274.17504691468,1867.047376372377,1989.7000170419672,1779.791009421491,2020.5851842524444,2016.1426202563716,1845.0229311498015,1927.0676763890024,1968.1702684679897,1776.9570345792463,2136.3758362869567,1958.6405022317279,1916.2400497605622,1522.7601891417467,1637.5938610303551,1652.835516402987,1752.5419157623708,1990.3400721294515,1736.3536110111916,1928.6472597517038,1986.5593474113844,1816.0582228659448,862.8045194364264,2011.0878187198668,1568.0554905122258,2051.9395121403186,2068.1396020096245,2269.502576414667,2096.919418952509,1106.7781671264809,1907.2266195499506,2062.9009220515695,1658.240532423474,712.4294031314801,1704.4233073339547,1757.7092290025073,1451.3428182682135,1585.7419044408982,1765.3816735120363,1686.2018102333639,2076.732861219506,1912.4910115760508,1797.462378103626,1388.6665765868745
chinese,2288.111872097598,2279.634158993015,2312.3707808305967,2273.9379691293866,2274.17504691468,0.0,2388.9980738613217,2344.398434009189,2228.1726661021075,2003.1824158624481,2199.8673666075497,2377.2253255164874,2465.90841752443,2378.69947990912,2338.920148463415,1920.992588507889,2354.319620840985,2319.6388767618073,2171.066338010123,2295.0358256655177,2356.8654529448368,2270.3045265847477,2322.5059095613115,2271.549566517238,2333.324286908854,2296.2261346656,2290.002842008274,2266.5470359219266,2327.3570526532717,2218.612607582378,2319.047793243841,2315.7660588336157,2231.913189135611,2322.63917252848,2269.2034040120216,2349.6499930359137,2297.876323836042,2316.5790629993535,2299.991360191165,2337.436384017304,2314.1509537996035,2367.883728672053,2321.9837593257666,2258.1507094725685,2310.2681887269396,2423.50900605439,2304.4175791572397,2260.555172922476,2337.3758362585113
russian,1838.1650688910206,1898.0937270210898,2286.9683354196995,1873.6007057609916,1867.047376372377,2388.9980738613217,0.0,2126.3104975336264,2018.6405336284647,2168.9313394034693,2228.407484185102,1488.8589834376019,2018.2238452680826,2113.0467515082605,1949.1624054043966,2256.7234198545807,2118.923563680515,1916.040266964782,1915.93424671021,1392.0247278328484,1867.57120622162,1700.149837034186,2109.6521296450073,2050.280203714969,2200.5437744886494,2078.7678001203544,1858.9248708687037,1825.1950072290967,2001.70368085449,1955.8740969508717,2233.042701768063,2183.668577135573,2307.8822372390905,2141.1326272013075,1769.611233644376,2082.590560077111,2229.5435791489563,1928.4902229181791,1842.68159723466,1897.156338145807,1482.7087302903012,1993.8074383622059,1970.3515904417527,2040.3975941364313,1970.616839583979,2006.0479789837846,2097.797322777142,2017.5160291851541,1873.4877432193286
hindi,1870.305610296287,2038.5358309054839,1953.142309784685,2079.2635893577312,1989.7000170419672,2344.398434009189,2126.3104975336264,0.0,1900.8489082705673,2151.2073500717606,2100.5220896850515,2176.5870406997515,2212.941980166247,2165.663863598159,2086.115936112683,2226.0664389152057,1905.4488283432179,2036.1088698389601,1966.4628317630704,2076.763111845725,2014.294493774278,2038.3713094404297,2092.6294617615445,1826.5536708461887,2205.7580857016665,2160.4022460911583,2025.9410228728,2013.6506323092674,2099.0126858492554,1924.7963274752371,1946.699098581232,1986.1666982552397,2114.523632192797,2139.213566543987,1985.427394055842,1428.0982779841333,1982.8850087500327,2086.319001208253,1985.340344124524,2104.1638561859127,2151.6834242397654,2061.402588495244,1807.2935703317526,1966.926330593771,2163.386787654313,2009.3473478429862,2013.2347516388127,2095.8249036014067,2050.000117524609
indonesian,1838.6799692780169,1862.086191533494,2021.386533435724,1839.0491296272342,1779.791009421491,2228.1726661021075,2018.6405336284647,1900.8489082705673,0.0,2070.456246272173,1949.9053255717765,2042.2067151487188,2038.6855135006128,1972.7736881440094,1969.7600946559162,2083.2540732440225,1948.2520602447096,1935.954836340485,1773.0327297775646,1911.2649046028478,1890.773278353518,1852.8071780442415,2050.486929369878,1708.5255652682104,2088.477288565025,1955.1570976359221,1926.1260961062967,1843.1727580436893,2053.594796624555,1906.0169995245774,2001.7601371436065,1987.3251858617919,2034.223759587278,2093.203544377404,1781.1831041367204,1865.4145912269191,2039.3267993280617,1861.74075511545,1769.4042365468895,1951.3369377762401,2012.4426685266455,1877.1489805770643,1835.3332392816285,1366.233218031275,1945.8399431418816,2015.2620471130158,1965.006257325338,1939.1456679401103,1868.9121382107726
japanese,1892.316143646847,2067.2694535081264,2222.9429382441745,2052.2471475327843,2020.5851842524444,2003.1824158624481,2168.9313394034693,2151.2073500717606,2070.456246272173,0.0,1995.946251445733,2171.397179150154,2230.8606289644595,2140.5564876630438,2017.6308298495442,1912.4023978694725,2041.2590623709498,2013.1767527923434,1930.3596811464981,2039.7969833266504,2023.0864318301853,2014.374909882962,2059.2761440822674,2011.5014084478212,2141.265413923144,2115.825110325092,2044.4895519168324,1961.9122051915,2077.814811426159,1965.680626075052,2101.933822273143,1989.241643575718,2234.138455228978,2150.524402375801,2040.186665898507,2026.021668121212,2194.6645384206527,2080.7324557567745,1998.8764125029081,2044.822063188658,2121.526606531538,2036.82591212303,1950.4904442993131,2027.9607465213376,2096.5936661924575,2117.0788766108735,2114.457776204527,2022.2016797854842,2005.37950047394
