,english,german,arabic,french,spanish,chinese,russian,hindi,indonesian,japanese,swahili,polish,hungarian,turkish,greek,korean,tamil,finnish,basque,bosnian,swedish,lithuanian,icelandic,filipino,yoruba,amharic,georgian,italian,uzbek,irish,hausa,maori,thai,mongolian,romanian,punjabi,somali,dutch,portuguese,danish,slovenian,maltese,malagasy,javanese,albanian,armenian,khmer,kurdish,haitian creole
english,0.0,1009.9857399997477,2021.3856318761702,993.1925371913184,1072.5314093293898,2179.1719630928724,1450.5454483123394,1282.9580540288118,1328.723742783914,1732.179649530132,1606.8290253438784,1460.906369720515,1470.620938721205,1568.5848461580997,1539.4210565415453,1889.8176806918152,1484.5629660001205,1529.4391273399465,1262.533116095154,1115.2821541912467,967.9064297469603,1396.793521585403,1452.082837804044,1007.2996420680378,1478.963322173416,1584.5843905200438,1421.45299128953,1038.2027738059273,1572.821455478234,1118.7867389934588,1651.4966656811682,1632.0452291137974,1847.7721748572942,1721.5282666261464,1074.3464503612784,1446.300487138515,1745.7983198202687,916.9472904322789,1086.0493978310417,893.9835659915511,1350.3279371375895,1103.891221233342,828.5987256935108,1212.586646776658,1361.4516698969946,1637.0428080256324,1589.6491420127834,1245.7226030689224,1023.6099604477448
german,1009.9857399997477,0.0,2060.6326125458354,1282.1835838404827,1386.1748405023466,2195.12871484718,1544.7695651529548,1618.2240198123402,1463.3712702671953,1870.8489655725944,1824.2947827285748,1563.207704203626,1511.368518906185,1663.2110882344793,1638.9230206818531,2000.0996193543908,1755.3348972327904,1521.3171347699604,1440.675544602741,1357.986714226767,996.3981069967758,1447.9856551509906,1547.3639844907927,1438.716693899608,1780.7276276995944,1723.5356909279233,1540.5946162458542,1330.621073021294,1704.66393318243,1481.0749047643624,1874.7451016398754,1844.803173856647,1907.8952119027792,1770.7221883460093,1342.0939460168652,1727.5764621744513,1926.9664098313128,823.6365028784247,1396.3891724290888,914.0864460870937,1453.2763224317107,1427.3325967273818,1419.4501114998143,1501.329135927252,1469.0781325446662,1685.1133864958665,1729.7830632749217,1477.5911269899664,1375.3885620498322
arabic,2021.3856318761702,2060.6326125458354,0.0,2023.597724748901,1928.0714998178294,2173.7306579896513,2075.30381809924,1802.269557046743,1852.2626587753145,2094.2706105725174,1832.295359981544,2069.243675345218,2072.3220354977616,1924.495322356107,1980.1164532111982,2235.985375760839,1818.4935544467141,1910.318192925048,1822.06601198758,1965.460655055574,2020.203666700453,1891.7673017143863,2019.2257087754415,1887.9097511168447,2090.42214871477,1944.7570029799326,1881.7632590426367,1950.4468041256355,1873.7192717727069,1869.4032918701996,1796.8324378919494,1884.4615221568033,1997.9768229111971,2013.3723102029996,1892.7338088593667,1652.7312187911496,1820.3422434726663,2102.8930469033935,1938.4582081152726,2083.1083217862733,2025.9490400794925,1748.0594385747079,1894.8521398756452,1880.2926540648625,1997.5209152872835,1908.0486614137405,1986.11928242999,1932.3779333315467,2030.383685680963
french,993.1925371913184,1282.1835838404827,2023.597724748901,0.0,796.2737168611087,2161.6854901307506,1557.5090671647922,1614.8591458346368,1370.9536537472916,1949.4051886937941,1689.6233917332022,1496.6288404215143,1578.8293362315017,1629.8287531611797,1563.5875883381054,1983.766387080816,1716.2935637205771,1649.8881337085866,1370.6636368721456,1361.0433730698664,1322.0132750442529,1476.6320480639326,1764.0898353825016,1345.6121881106023,1621.5203166457484,1740.5306476604735,1558.6654264772426,813.3155276998327,1690.0387408469085,1285.531143583139,1804.5540047178645,1727.359789282793,1933.9903978698435,1822.7308900849364,854.8214600687625,1783.0575121196541,1817.5279055952897,1211.5775986395558,830.0144920952812,1260.1753664092926,1485.210667152048,1184.1744448802926,1199.8302696320598,1353.9981415410189,1228.060773035919,1778.804330400649,1663.487421496402,1370.0903226290986,990.5214069128388
spanish,1072.5314093293898,1386.1748405023466,1928.0714998178294,796.2737168611087,0.0,2163.2505485987995,1514.8251551077813,1600.439973681135,1329.7346607751774,1948.423362865397,1631.2818801168376,1422.9314731765562,1538.810028228633,1596.3928297285581,1482.6154415861704,1998.141277541291,1666.4491920887106,1612.5495023674887,1203.8118065898213,1304.2861169515893,1346.808121929546,1432.4560425828442,1755.6848061694163,1322.679299474469,1635.6961889467184,1706.9664270962091,1528.425064676853,664.035712649292,1611.1894181332216,1266.8930211044096,1725.6695357252586,1702.9905072338831,1924.2581429746626,1800.2647483487497,796.2257907967985,1643.164782161156,1729.4337395050145,1300.5830337879381,496.3546022224467,1341.3259815609763,1405.3434450799293,1121.7964773841254,1185.8059892685783,1326.33236345354,1221.5836390708935,1740.281892376677,1665.4793788641339,1374.1434517740522,1107.8627159182263
chinese,2179.1719630928724,2195.12871484718,2173.7306579896513,2161.6854901307506,2163.2505485987995,0.0,2233.579101615996,2149.71376865784,2114.343740955485,1826.8740347072312,2070.208127427598,2220.887178024035,2254.567615179943,2153.482482331445,2186.0300630765983,1689.3446778298337,2200.536474831854,2158.43402688569,2090.701984450643,2169.171488841138,2265.2103617967273,2091.021238113611,2173.8437179406765,2112.526169619102,2161.033442303321,2147.451629679567,2141.573236652826,2154.9166725748437,2140.1669515014373,2094.8639037528424,2096.596600157008,2099.99784810767,2090.6658029599294,2126.116065943346,2167.5541889147075,2129.1917020598084,2154.0258562479885,2199.963696541464,2157.6683787770144,2263.0457419606014,2211.5139329646286,2184.607153087029,2188.2862006530486,2128.646917648117,2203.7797165900324,2214.1583686889994,2151.941492493403,2176.527390428741,2186.7627048239447
russian,1450.5454483123394,1544.7695651529548,2075.30381809924,1557.5090671647922,1514.8251551077813,2233.579101615996,0.0,1751.1960676888275,1603.5975016254417,1958.0495656487442,1819.8236286680856,1274.0772655445535,1614.5078925284067,1643.431168650049,1596.451730829091,2077.683317908848,1775.777697352188,1647.8555234114228,1523.0547605790698,1129.7255682218085,1492.0663444652948,1349.9760513954795,1843.8753013002529,1621.5178214263854,1926.2116905075509,1778.6752255623628,1509.654339348646,1471.499938357688,1523.195647181984,1664.776471057592,1905.3342418545021,1881.8267752175984,1980.0645384838301,1713.8685518462207,1431.0415049124808,1754.1204216464548,1935.6219184457746,1525.2292591788628,1492.2681302221297,1507.9410217071727,1166.212005923754,1597.5511049217523,1558.167342203168,1609.9775784600358,1549.5286783038177,1643.0690001747198,1830.9618995654153,1613.0711167697254,1489.595927452696
hindi,1282.9580540288118,1618.2240198123402,1802.269557046743,1614.8591458346368,1600.439973681135,2149.71376865784,1751.1960676888275,0.0,1598.3424912502414,1876.4303426753509,1757.4774197193224,1804.8291473416662,1805.0688785473044,1765.7259456893755,1796.7631812385132,2026.292793482739,1494.467889517498,1726.2277455520648,1580.8682475712026,1571.7078758136508,1549.929486894092,1691.2936974725403,1823.711007857151,1479.4401177890556,1832.7855355686072,1790.9101606638458,1690.9967237386932,1597.7547662676732,1749.3268630899145,1559.7646541521842,1671.861639895594,1714.3766633295024,1816.5570677487335,1833.1890346249743,1595.472161529267,1142.3589335575175,1759.5769481699533,1587.4392747697914,1601.9827173576898,1595.2310740656465,1729.9270017729827,1614.8241897210842,1354.494160356726,1613.4365348946287,1744.429175325468,1716.0836763254563,1695.716713724287,1632.7150578497062,1611.225169265075
indonesian,1328.723742783914,1463.3712702671953,1852.2626587753145,1370.9536537472916,1329.7346607751774,2114.343740955485,1603.5975016254417,1598.3424912502414,0.0,1905.9682375142588,1581.4856564601075,1605.984692292319,1615.6150596789869,1586.4012353717746,1602.3518905909202,1983.9961332651712,1585.0561872772628,1600.558336539686,1341.1598616642293,1407.729977170627,1430.3437428239176,1477.420872790933,1746.7579532134919,1303.080565821638,1678.3187512587117,1703.3254078169562,1528.6547601119855,1352.2663012469777,1628.024461679149,1462.625914026405,1670.1015932007065,1588.3920737466688,1754.6721942351442,1733.2100037990006,1301.9629420054548,1556.3954876813486,1704.985283656028,1418.281356480708,1322.3912318071687,1413.7219654947,1532.546950089813,1335.2788863319497,1300.2736783711268,863.6347431505515,1444.11953689311,1639.926425762117,1618.866161467169,1395.797398027233,1367.5821837413293
japanese,1732.179649530132,1870.8489655725944,2094.2706105725174,1949.4051886937941,1948.423362865397,1826.8740347072312,1958.0495656487442,1876.4303426753509,1905.9682375142588,0.0,1917.7580836050088,1988.7313648330028,1966.9462920640833,1911.589614654569,1882.806142004562,1577.235009443415,1953.236188775569,1859.7135989135088,1776.3744628026225,1873.7846060983918,1811.616914025194,1844.9095094375527,1899.3060439085787,1858.6465902305995,1985.9954355798318,1936.191302634385,1864.6275489334641,1905.1502101044662,1913.9924734757333,1913.4332027423477,1922.7150139961816,1908.3916731986496,2014.9364782033647,1966.7315968032055,1941.8061561940358,1839.574042746267,2065.338479572035,1882.7093745042116,1912.1833734557695,1839.0795151740215,1951.4132757317186,1869.453810430185,1905.210648944317,1893.6543681256176,1950.8603530643902,1890.730052721526,2006.1462499154616,1900.5236639748782,1858.328701108181
